Admin1,Admin1Pcode,Admin2,Admin2Pcode,Admin3,Admin3Pcode,Admin3PcodeReview,CasSuspect,DecesSuspect,CasConfirmes,DecesConfirmes,Contacts
Kasaï-Oriental,CD82,Katanda,CD8209,Tshitenge,CD8209ZS02,CD820902,0,0,0,0,
Sankuru,CD83,Lodja,CD8303,Lodja,CD8303ZS01,CD830301,0,0,0,0,
Kasaï-Central,CD91,Kananga,CD9101,Bobozo,CD9101ZS01,CD910101,0,0,0,0,
Kasaï-Central,CD91,Kananga,CD9101,Kananga,CD9101ZS02,CD910102,0,0,0,0,
Kasaï-Central,CD91,Kananga,CD9101,Katoka,CD9101ZS03,CD910103,0,0,0,0,
Kasaï-Central,CD91,Kananga,CD9101,Lukonga,CD9101ZS04,CD910104,0,0,0,0,
Kasaï-Central,CD91,Kananga,CD9101,Ndesha,CD9101ZS05,CD910105,0,0,0,0,
Kasaï-Central,CD91,Kananga,CD9101,Tshikaji,CD9101ZS06,CD910106,0,0,0,0,
Kasaï-Central,CD91,Dibaya,CD9102,Bunkonde,CD9102ZS01,CD910201,0,0,0,0,
Kasaï-Central,CD91,Dibaya,CD9102,Lubondaie,CD9102ZS03,CD910203,0,0,0,0,
Kasaï-Central,CD91,Dibaya,CD9102,Tshikula,CD9102ZS04,CD910204,0,0,0,0,
Kasaï-Central,CD91,Luiza,CD9104,Luambo,CD9104ZS01,CD910401,0,0,0,0,
Kasaï-Central,CD91,Luiza,CD9104,Luiza,CD9104ZS02,CD910402,0,0,0,0,
Kasaï-Central,CD91,Luiza,CD9104,Masuika,CD9104ZS03,CD910403,0,0,0,0,
Kasaï-Central,CD91,Luiza,CD9104,Yangala,CD9104ZS04,CD910404,0,0,0,0,
Kasaï-Central,CD91,Kazumba,CD9105,Bilomba,CD9105ZS01,CD910501,0,0,0,0,
Kasaï-Central,CD91,Kazumba,CD9105,Kalomba,CD9105ZS02,CD910502,0,0,0,0,
Kasaï-Central,CD91,Kazumba,CD9105,Mikalayi,CD9105ZS03,CD910503,0,0,0,0,
Kasaï-Central,CD91,Kazumba,CD9105,Ndekesha,CD9105ZS04,CD910504,0,0,0,0,
Kasaï-Central,CD91,Kazumba,CD9105,Tshibala,CD9105ZS05,CD910505,0,0,0,0,
Kasaï-Central,CD91,Demba,CD9106,Bena Leka,CD9106ZS01,CD910601,0,0,0,0,
Kasaï-Central,CD91,Demba,CD9106,Demba,CD9106ZS02,CD910602,0,0,0,0,
Kasaï-Central,CD91,Demba,CD9106,Mutoto,CD9106ZS03,CD910603,0,0,0,0,
Kasaï-Central,CD91,Dimbelenge,CD9107,Bena Tshiadi,CD9107ZS01,CD910701,0,0,0,0,
Kasaï-Central,CD91,Dimbelenge,CD9107,Katende,CD9107ZS02,CD910702,0,0,0,0,
Kasaï-Central,CD91,Dimbelenge,CD9107,Muetshi,CD9107ZS04,CD910704,0,0,0,0,
Kasaï,CD92,Kamonia,CD9202,Kamonia,CD9202ZS02,CD920202,0,0,0,0,
Kasaï,CD92,Kamonia,CD9202,Kamwesha,CD9202ZS03,CD920203,0,0,0,0,
Kasaï,CD92,Kamonia,CD9202,Kitangwa,CD9202ZS05,CD920205,0,0,0,0,
Kasaï,CD92,Kamonia,CD9202,Mutena,CD9202ZS06,CD920206,0,0,0,0,
Kasaï,CD92,Luebo,CD9204,Ndjoko-Mpunda,CD9204ZS02,CD920402,0,0,0,0,
Kasaï,CD92,Ilebo,CD9205,Ilebo,CD9205ZS02,CD920502,0,0,0,0,
Kasaï,CD92,Ilebo,CD9205,Mikope,CD9205ZS03,CD920503,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Bandalungwa,CD1000ZS01,CD100001,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Barumbu,CD1000ZS02,CD100002,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Binza Meteo,CD1000ZS03,CD100003,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Biyela,CD1000ZS05,CD100005,0,0,0,0,
